Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
22/05/2026;;00000000012309;BROCOLIS UN;9,000;62,82;6,98;49,00;0,00;0,00;13,82;22,00;28,20;0,72;30,20;;;
22/05/2026;;00000000010691;CAQUI BANDEJA;2,000;9,98;4,99;8,00;0,00;0,00;1,98;19,84;24,75;0,10;30,30;;;
22/05/2026;;00000000000471;CARTELA OVOS C/12;11,000;76,89;6,99;68,75;0,00;0,00;8,14;10,59;11,84;0,42;30,72;;;
22/05/2026;;00000000002495;CEBOLA GRAUDA KG;60,280;312,88;5,19;252,77;0,00;0,00;60,11;19,21;23,78;3,14;33,86;;;
22/05/2026;;00000000010508;CEBOLA MIUDA KG;4,255;19,11;4,49;8,51;0,00;0,00;10,60;55,47;124,56;0,55;34,42;;;
22/05/2026;;00000000010509;CEBOLA ROXA KG;6,465;43,26;6,69;37,56;0,00;0,00;5,70;13,17;15,17;0,30;34,71;;;
22/05/2026;;00000000004799;CENOURA KG;62,820;439,14;6,99;397,63;0,00;0,00;41,51;9,45;10,44;2,17;36,88;;;
22/05/2026;;00000000012307;CHEIRO VERDE UN.;29,000;68,21;2,35;44,50;0,00;0,00;23,71;34,76;53,28;1,24;38,12;;;
22/05/2026;;00000000004796;CHUCHU KG;7,070;25,39;3,59;15,83;0,00;0,00;9,56;37,66;60,41;0,50;38,62;;;
22/05/2026;;00000000010526;COCO SECO KG;12,095;57,94;4,79;39,17;11,86;0,00;18,77;11,93;47,93;0,98;39,60;;;
22/05/2026;;00000000012305;COENTRO UN.;75,000;111,75;1,49;123,90;0,00;0,00;-12,15;-10,87;-9,81;-0,63;38,96;;;
22/05/2026;;00000000012304;COUVE UN.;51,000;125,99;2,47;52,00;0,00;0,00;73,99;58,73;142,29;3,86;42,82;;;
22/05/2026;;00000000010514;GENGIBRE KG;0,475;7,02;14,78;2,92;0,00;0,33;4,10;53,69;140,13;0,21;43,04;;;
22/05/2026;;00000000012306;HORTELA UN;1,000;1,49;1,49;0,70;0,00;0,00;0,79;53,02;112,86;0,04;43,08;;;
22/05/2026;;00000000004804;INHAME KG;21,890;102,68;4,69;64,21;0,00;0,00;38,47;37,47;59,92;2,01;45,09;;;
22/05/2026;;00000000004803;JILO KG;12,555;100,32;7,99;66,42;0,00;0,00;33,90;33,80;51,05;1,77;46,86;;;
22/05/2026;;00000000010532;KIWI KG;0,505;12,62;24,99;8,49;0,00;0,00;4,13;32,69;48,57;0,22;47,07;;;
22/05/2026;;00000000004797;LARANJA PERA KG;22,235;84,29;3,79;66,70;0,00;0,00;17,58;20,86;26,36;0,92;47,99;;;
22/05/2026;;00000000002498;LIMAO KG;34,535;110,17;3,19;91,53;0,00;0,00;18,64;16,92;20,37;0,97;48,96;;;
22/05/2026;;00000000012312;LOURO UN.;3,000;4,47;1,49;3,60;0,00;0,00;0,87;19,46;24,17;0,05;49,01;;;
22/05/2026;;00000000010530;MACA  ARGENTINA KG;1,150;21,84;18,99;13,39;0,00;0,00;8,45;38,71;63,16;0,44;49,45;;;
22/05/2026;;00000000010531;MACA FUJI KG;0,190;2,66;14,00;1,38;0,00;0,00;1,28;48,14;92,84;0,07;49,52;;;
